text,label,phishing_type,severity,confidence
"제목: 사무실 유지보수

분석에 도움을 주셔서 감사합니다. 명확성을 위해 변경 사항을 푸시하고 PR에 의견을 남겼습니다.

타이밍이 맞는지 알려주세요.

드림
에이버리킴",0,legitimate,low,0.95
"안녕하세요, 귀하의 프로필이 잠겼습니다. 보안 링크를 사용하여 사용자 이름을 확인하고 액세스를 복원하세요. 계속하려면 인증 코드를 입력하세요.

키워드: 핀 업데이트 비밀번호 로그인 설정 비밀번호

올림
라일리 칸",1,credential_harvesting,high,0.89
"안녕하세요, 축하드립니다! 당신은 환불의 승자입니다. $10,000의 선물을 받으려면 금액 처리를 위해 신용카드를 제공하시기 바랍니다. 이 제안은 오늘만 가능합니다.

키워드: 밀리언콘테스트 ssn

보안팀,
알렉스 칸",1,financial_scam,medium,0.69
"주의사항 사기방지 계정팀입니다. 귀하의 계정에 보안 위반 사항이 있습니다. 양호한 상태를 유지하려면 오늘 기밀 단계에 따라 계정을 검토하세요. 응답하지 않으면 계정이 정지될 수 있습니다.

키워드: mcafee 텔레그램(Telegram) 위반 애플(Apple) 공식 계정

컴플라이언스팀,
알렉스 마르티네즈",1,authority_scam,high,0.91
"귀하의 프로필이 제한되었습니다. 보안 링크를 사용하여 비밀번호를 재설정하고 액세스를 복원하세요. 계속하려면 2FA 코드를 입력하세요.

키워드: 비밀번호 기본 설정을 잊어버렸습니다.

IT 데스크,
샘 싱",1,credential_harvesting,high,0.8
"경고합니다. 귀하의 계정과 관련하여 긴급 공지입니다. 귀하의 액세스 권한이 곧 만료됩니다. 중단을 피하려면 지금 행동하고 지침을 즉시 따르십시오. 이 작업은 시간에 민감한 작업이므로 곧 종료됩니다.

키워드: 기다리지 마세요, 만료됨, 즉시, 자정에 만료됨, 마지막 기회, 서둘러

지원 데스크,
제이미 칸",1,urgency,medium,0.74
"제목: 교육 세션 메모

다음주 수요일에 연구실을 예약했어요. 캘린더 초대에는 위치 및 장비 세부정보가 포함됩니다.

타이밍이 맞는지 알려주세요.

드림
알렉스 칸",0,legitimate,low,0.95
"제목: 회의 후속 조치

워크숍에 참석해 주셔서 감사합니다. 다음은 참고 자료 및 슬라이드 데크에 대한 링크입니다.

만나기 전에 자유롭게 메모를 추가하세요.

드림
케이시 싱",0,legitimate,low,0.99
"제목: 연구토론

좋은 아침입니다. 업데이트된 다음 주 일정이 아래에 포함되어 있습니다. 항목을 확인하고 의견을 추가하세요.

타이밍이 맞는지 알려주세요.

드림
테일러 웡",0,legitimate,low,0.98
"주의, 귀하의 계정이 제한되었습니다. 보안 링크를 사용하여 비밀번호를 재설정하고 액세스를 복원하세요. 계속하려면 2FA 코드를 입력하세요.

키워드: 비밀번호를 잊어버렸습니다. 프로필 2단계 활성화 코드 비밀번호

올림
라일리 리",1,credential_harvesting,high,0.88
"제목: 강의실 물류

수정된 문서를 예제와 함께 공유합니다. 새로운 엔드포인트는 섹션 2에 설명되어 있습니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
샘 마르티네즈",0,legitimate,low,0.97
"[안내] 수신인 귀하, 귀하의 계정은 확인이 필요합니다. 액세스를 복원하려면 비밀번호를 재설정하고 사용자 이름, 2FA 인증 코드 및 복구 키를 입력하세요.

키워드: 보안 질문, 계정 복구, 비밀번호, 로그인, 로그인

감사합니다,
조던 파텔",1,credential_harvesting,high,0.85
"안내드립니다, 우리는 회의 후에 다시 만나는 것에 대해 이야기했습니다. 출장 중에 예상치 못한 상황이 발생했습니다. 호텔에서 지갑을 도난당해 결제 인증에 실패했습니다. 임시 대출을 도와주실 수 있나요? 다음주에 다시 이전하겠습니다.

키워드: 아프가니스탄, 사랑, 석유 굴착 장치

감사합니다,
알렉스 칸",1,romance_dating,medium,0.92
"안내드립니다, 우리는 회의 후에 다시 만나는 것에 대해 이야기했습니다. 출장 중에 예상치 못한 상황이 발생했습니다. 호텔에서 지갑을 도난당해 결제 인증에 실패했습니다. 임시 대출을 도와주실 수 있나요? 다음주에 다시 이전하겠습니다.

키워드 : 당신을 기억하다, 성실하다, 의사, 소울메이트, 사업가

지원 데스크,
카메론 싱",1,romance_dating,medium,0.74
"안녕하세요, 축하합니다! 당신은 상품의 우승자입니다. ₹80,000를 결제하려면 총액을 처리할 신용카드를 제시하세요. 이 제안은 오늘만 가능합니다.

키워드: 승자 거래 보상 백만

계정 서비스,
에이버리 가르시아",1,financial_scam,high,0.77
"제목: 온보딩 체크리스트

안녕하세요 팀, 오늘 동기화의 메모를 공유합니다. 다음 단계는 공유 문서에 있습니다. 당신의 생각을 알려주십시오.

만나기 전에 자유롭게 메모를 추가하세요.

드림
에이버리 브라운",0,legitimate,low,0.97
"안녕하세요, 귀하의 계정이 정지되었습니다. 보안 링크를 사용하여 비밀번호를 업데이트하고 액세스를 복원하세요. 계속하려면 인증 코드를 입력하세요.

키워드: 인증 업데이트 비밀번호

IT 데스크,
테일러 브라운",1,credential_harvesting,high,0.89
